"","Oxford","Womac","HarrisHS","PMA"
"bi colonne",9.07377172587747,4.50924975282289,5.77350269189626,0
"colonne antérieure",NA,NA,NA,NA
"paroi postérieure",9.44457516249408,22.8735655287933,25.073226092122,2.58843582110896
"T",NA,NA,NA,NA
"transversale",18.1567251085284,32.1804806262016,24.5950537032686,3.86221007541882
"transversale et paroi postérieure",11.2368441595791,20.0540935139604,14.9632884086353,2.58198889747161
